,theta,phi,xoff,yoff,zpush,xshear,yshear,Bx00,Bz00,Bx01,Bz01,Bx10,Bz10,Bx11,Bz11,Temp0,Temp1,Fx,Fy,Fz,Tx,Ty,Tz,X,Y,Z,U,V,W
14,0.0755,4.188790204786391,0.0,0.0,0.7333333333333333,0.6,-0.6,8.214638841503461,20.496977711702524,-13.169639078878422,11.881049064959788,-15.162125946817559,14.157527444194782,10.386274748007303,32.86367549756578,755.0,755.0,-0.1659999999999999,0.8624,-5.8125,-38.32419999999999,-13.723999999999998,-0.6574000000000001,-2.26701295345,-5.41974628501,0.928577518697,-3.74538728944,2.16137652054,1.67776984332e-05
15,0.001,4.188790204786391,0.0,0.0,0.7333333333333333,0.0,-0.6,9.280794095400719,25.713365312121,-15.446142715273796,14.274603475126868,-14.170252001593472,11.963435901541626,9.29390256163716,30.08853994954597,755.0,755.0,0.0576,0.7303999999999999,-5.938399999999999,-32.8973,-1.5913,-0.3252,-0.0354808958692,-0.661189301332,0.733379861209,-0.0496362349083,0.0286524378324,-1.23422979493e-05
16,0.001,4.188790204786391,0.0,0.0,0.3666666666666666,0.0,-0.6,9.123492500563419,14.482738641228353,-9.355075404073888,17.574413087694168,-9.202143297982069,15.744558085718609,9.979912294677609,17.756531358032966,755.0,755.0,0.0481999999999999,-0.0743,-2.5604,3.0058,0.9286,0.0435,1.37775321132e-05,-1.1749612431e-05,0.36667099917,-0.0496203873509,0.0286493768619,3.4907520596e-05
17,0.001,4.188790204786391,0.0,0.0,0.5666666666666667,0.6,0.0,8.92777342198367,12.59094803754685,-9.780327690978194,14.213627074777216,-13.5184502550311,21.068795199975018,13.868216108977572,25.949848453675987,756.0,756.0,-0.5443,0.0121999999999999,-4.4897,-3.0743,-25.2326,-0.1237,0.564665924027,-0.0611426392815,0.566703536906,-0.0496239857176,0.0286462263387,2.96510236579e-06
18,0.001,4.71238898038469,0.0,0.0,0.4,-0.6,0.0,10.713986403918344,19.209141371449583,-11.801989101543006,21.242795390232846,-8.284550661431151,11.902729811428692,8.468069188741334,14.656184612979592,755.0,755.0,0.6499,0.1308,-3.1841,-3.3583000000000007,26.157100000000003,0.0402,-0.600031586927,-0.0704309304017,0.400036059486,-0.0572945236293,-3.01854968348e-06,3.94831760349e-06
19,0.001,2.0943951023931957,0.0,0.0,-0.1,0.0,-0.6,6.370714590910663,11.833351422728198,-6.624144938148536,13.901694635861707,-6.488690787038639,12.44041232385753,6.851358352913525,14.287611923008212,755.0,755.0,0.0032,0.001,0.0087,-0.047,0.0099,0.0368,-0.0350012746627,-0.539513855329,-0.0999620670188,0.0496079264607,0.0286507384864,-1.69277903657e-05
20,0.001,3.141592653589793,0.0,0.0,0.5666666666666667,0.6,0.0,8.905913056112015,12.643012605586328,-9.789071837326855,14.200610932767347,-13.492217815985116,20.977682205905936,13.798262938188277,25.9021225996398,756.0,755.0,-0.5424999999999999,0.0207999999999999,-4.4814,-3.463,-25.279,-0.1292,0.529420663015,-4.87708269175e-05,0.566700067797,1.30700110856e-06,0.0572955879807,-6.25685573951e-06
21,0.001,0.5235987755982988,0.0,0.0,0.2333333333333333,0.6,0.0,7.554846040935896,12.336344740806787,-7.8912966743379,14.625831567923125,-9.014255281926404,16.100122327808645,9.560441375111475,18.55871897738244,755.0,755.0,-0.2664,-0.0066999999999999,-2.1767,-1.0233,-12.5568,-0.0616,0.66077597552,0.0350723469024,0.233371303633,0.0286433954891,-0.049615297602,9.54562560906e-06
22,0.001,5.759586531581287,0.0,0.0,0.4,0.0,0.6,10.390644236752783,12.531471459026928,-8.214638841503461,21.138727807182104,-8.184052420285097,18.628097366082937,11.386887670722352,15.085463393063906,755.0,755.0,0.0803,-0.4327,-3.2723,18.9082,2.9228,0.1605999999999999,0.0609522331971,0.564843734229,0.400024727081,-0.0286460345176,-0.0496590234505,-6.74914268499e-05
23,0.001,5.759586531581287,0.0,0.0,0.2,0.0,0.6,7.89566616308338,13.645861827528632,-8.149096510321254,16.316929792497692,-7.694669680791274,13.741257111991812,8.249594751467306,15.653498950549208,755.0,755.0,0.1442,0.0366999999999999,-1.4609,-0.9724999999999998,5.3992,0.0125,-2.10159465721e-05,-7.31528817527e-06,0.200008600703,-0.0286573320202,-0.0496250849884,-1.53456638041e-05
