,theta,phi,xoff,yoff,zpush,xshear,yshear,Bx00,Bz00,Bx01,Bz01,Bx10,Bz10,Bx11,Bz11,Temp0,Temp1,Fx,Fy,Fz,Tx,Ty,Tz,X,Y,Z,U,V,W
10,0.001,5.235987755982988,0.0,0.0,0.175,-0.6,-0.6,7.475416746502796,14.45594527633816,-8.129199161023024,16.073154250014255,-6.954481781589709,11.864293825895551,7.271906827666594,14.358569583301398,744.0,745.0,0.2631,0.2505,-1.1122,-11.7461,10.1812,-0.3428999999999999,-0.564931798357,-0.66082768723,0.17504075339,-0.0496125361549,-0.0286451499866,1.88008169161e-05
11,0.0355,3.141592653589793,0.0,0.0,-0.1,0.6,0.6,6.689673174425557,11.508321599871609,-6.2422944273038485,14.746289734065613,-6.0645512165298525,12.74554214154019,7.228826810915016,13.428041221467284,744.0,744.0,0.0208999999999999,-0.0034999999999999,-0.0695,0.0153999999999999,-0.0512,-0.1261,-1.92504220203,0.555880199823,-0.0557742937553,-6.77515227003e-06,2.03400306861,-1.9684758684e-05
12,0.001,3.141592653589793,0.0,0.0,-0.1,0.0,0.6,6.6940142991331655,11.503980475164001,-6.23798642562869,14.737673730715297,-6.047186717699416,12.741201016832582,7.228826810915016,13.406501213091495,744.0,744.0,0.0184,-0.0018,-0.0669,0.0132,-0.0899,-0.0991,-0.069903946561,0.600006569602,-0.0999614399416,4.19749389514e-07,0.0572952689146,8.84923880379e-06
13,0.001,3.141592653589793,0.0,0.0,-0.05,0.0,0.6,6.676649800302729,11.490957101041174,-6.229370422278374,14.73336572904014,-6.047186717699416,12.75422439095541,7.220210807564699,13.41511721644181,744.0,744.0,0.0178,-0.0015,-0.0665,0.0173,-0.0906999999999999,-0.1073999999999999,-1.15171938837e-05,8.38595470677e-06,-0.0499986693328,4.68566351409e-06,0.0572942586478,1.02448819025e-05
14,0.001,4.188790204786391,0.0,0.0,-0.1,0.6,-0.6,6.728743296794038,11.603826343439009,-6.229370422278374,14.72905772736498,-6.0211399694537615,12.771588889785845,7.220210807564699,13.410809214766653,744.0,745.0,0.0174999999999999,-0.0013,-0.0706,0.0048,-0.0849999999999999,-0.1075,0.565078061382,-0.660407827691,-0.0999954771506,-0.0495290328783,0.0286858644702,0.000154930036483
15,0.001,1.0471975511965976,0.0,0.0,-0.1,-0.6,-0.6,6.729094187928789,11.601288109942992,-6.217067807922314,14.728939730541715,-6.017571656129742,12.77269715619752,7.228848233726846,13.385639760962933,743.0,744.0,0.018,-0.0026,-0.0696,0.0189,-0.081,-0.0971,-0.565093832051,-0.539491295009,-0.0999729742183,0.0496209137944,-0.0286638292812,-8.30495953545e-06
16,0.001,4.188790204786391,0.0,0.0,0.175,0.0,-0.6,6.967505155712536,14.26059466449575,-8.073195139245971,14.660129700562454,-7.5448747418245405,12.33313529431733,7.332218851118806,16.111926265090677,744.0,744.0,0.0301,0.3521999999999999,-1.1624,-16.2887,0.0438,-0.288,-0.035089679336,-0.660811655853,0.175035820965,-0.0496149613276,0.0286476870393,-3.62856523808e-06
17,0.0355,2.0943951023931957,0.0,0.0,0.175,0.0,-0.6,6.928435033344054,14.803235252946884,-8.676315373768082,14.634281690511505,-8.057127457322409,12.181195929551013,7.246058817615647,16.827054543166895,744.0,744.0,0.0691,0.3557,-1.4241,-17.4232,1.165,-0.4288,-1.28948167211,1.51290182144,0.21888420583,1.7614004525,1.01684013811,-6.98809676703e-07
18,0.0355,2.0943951023931957,0.0,0.0,0.0875,0.0,-0.6,6.780836793285347,12.402593289639075,-6.9961947204564865,14.39734159837782,-7.045645400449499,13.101514367564134,7.663934980105967,15.353717970262881,744.0,745.0,-0.0862999999999999,0.0991999999999999,-0.5204000000000001,-5.7055,-4.8212,-0.1125,2.24061899756e-05,4.65698202194e-05,0.0874953492939,1.76142443759,1.01684826307,1.91114212304e-05
19,0.001,4.188790204786391,0.0,0.0,1.0,-0.6,-0.6,15.619366697977386,33.387590126221255,-23.047808962094955,24.4565255098716,-10.340559053524773,5.7736958611200455,8.021499119144076,13.58312928177297,744.0,745.0,0.4770999999999999,0.4085,-7.5291,-25.6097,14.566099999999995,-0.8606,-0.63550213057,-0.661472405752,1.00003216264,-0.0496177283882,0.0286419628447,-5.83526956712e-06
20,0.001,4.188790204786391,0.0,0.0,-0.1,0.0,0.6,6.707037673255993,11.677625463468363,-6.319838457456691,14.909993797721613,-6.0211399694537615,12.550191529697782,7.125434770711225,13.238489147760335,744.0,745.0,0.0187999999999999,-0.0028,-0.0697,0.0104,-0.106,-0.1123,-0.0349838672853,0.539459246852,-0.0999579040199,-0.0496197421578,0.0286486974647,-1.53722468649e-06
21,0.001,4.188790204786391,0.0,0.0,-0.05,0.0,0.6,6.76347229445491,11.768789082328153,-6.302606450756059,14.905685796046455,-5.977728722377671,12.589261652066265,7.121126769036067,13.234181146085177,744.0,745.0,0.0192999999999999,-0.0031999999999999,-0.0723999999999999,0.0043,-0.1038999999999999,-0.107,-9.49237788736e-06,-1.86094874113e-06,-0.0500030061698,-0.0496137924121,0.0286526595763,-4.97819222653e-06
22,0.001,1.0471975511965976,0.0,0.0,1.0,-0.6,0.6,20.38063274039117,14.59048281649061,-10.470339790180427,33.16541553958345,-4.71291272875627,13.812960808705013,11.681605941288167,3.9053634622904347,745.0,745.0,0.4547,-0.5803999999999999,-7.213200000000002,21.0545,12.5865,0.0579,-0.564538026797,0.661442858847,1.00003229106,0.0496238192985,-0.0286515291984,-1.53586697763e-05
23,0.001,4.188790204786391,0.0,0.0,0.45,-0.6,-0.6,9.66334359913776,21.48856730266483,-12.398428821104538,19.498015581764815,-7.948599339632183,9.598226728523624,7.207286802539226,14.108705486142238,744.0,745.0,0.4714,0.391,-2.8559000000000005,-19.5436,17.6592,-0.7074,-0.635230668658,-0.661063661188,0.450033206561,-0.0496089573505,0.0286390149993,3.01784217193e-05
